name,team,goals,big_chances_missed,success_ful_dribbles,total_shots,goal_conversion_percentage,rating,league,tackles,interceptions,clearances,error_lead_to_goal,blocked_shots,bigChancesCreated,assists,accuratePasses,accuratePassesPercentage,keyPasses,saves,penalty_save,saved_shots_from_inside_the_box,runs_out
Marcelo Rangel,goias,0,0,0,0,0.0,7.7,A/2019,0,0,0,0,0,0,0,9,75,0,7,0,3,1
Giorgian De Arrascaeta,flamengo,13,4,50,35,37.14,7.7,A/2019,43,10,5,0,0,19,14,777,77,57,,,,
Rodrygo,santos,1,1,14,13,7.69,7.65,A/2019,7,3,0,0,0,3,2,111,82,7,,,,
Evanilson,fluminense,2,0,0,4,50.0,7.55,A/2019,1,0,1,0,0,0,0,20,66,0,,,,
Dudu,palmeiras,9,5,85,75,12.0,7.52,A/2019,15,10,3,0,1,19,11,786,78,89,,,,
Lucas Piton,corinthians,0,0,0,1,0.0,7.5,A/2019,4,1,0,0,0,1,1,22,84,1,,,,
Gabriel Barbosa,flamengo,25,16,39,96,26.04,7.47,A/2019,17,2,0,0,0,14,8,584,80,31,,,,
Vanderlei,santos,0,0,0,0,0.0,7.43,A/2019,0,0,3,0,0,0,0,96,71,0,26,0,16,1
Walter,corinthians,0,0,0,0,0.0,7.42,A/2019,0,0,5,0,0,0,0,117,68,0,28,1,19,0
João Ricardo,chapecoense,0,0,0,0,0.0,7.42,A/2019,0,1,20,0,0,0,0,196,58,0,56,0,38,4
Gabriel Veron,palmeiras,2,0,3,3,66.67,7.37,A/2019,2,0,0,0,0,1,1,13,72,1,,,,
Rafinha,csa,1,0,2,10,10.0,7.36,A/2019,20,12,15,0,4,3,1,160,80,19,,,,
Dani Alves,sao-paulo,2,0,36,23,8.7,7.33,A/2019,51,9,11,0,1,6,3,1093,83,64,,,,
Carlos Sánchez,santos,12,7,12,70,17.14,7.31,A/2019,43,14,11,0,2,14,9,774,74,88,,,,
Nikão,athletico-paranaense,5,5,30,51,9.8,7.31,A/2019,30,13,14,0,1,7,2,645,83,36,,,,
Alisson,gremio,4,1,27,25,16.0,7.31,A/2019,17,17,17,0,2,5,6,810,85,55,,,,
Rildo,chapecoense,2,2,10,10,20.0,7.3,A/2019,2,1,0,0,0,0,0,81,84,6,,,,
Danilo Fernandes,internacional,0,0,0,0,0.0,7.3,A/2019,0,0,6,0,0,0,0,55,61,0,22,0,15,0
Jean Pyerre,gremio,3,2,22,13,23.08,7.29,A/2019,7,6,1,0,1,1,2,595,92,13,,,,
Bruno Guimarães,athletico-paranaense,2,1,37,25,8.0,7.28,A/2019,38,28,16,0,4,5,1,1432,88,45,,,,
Marcos Rocha,palmeiras,2,0,21,12,16.67,7.28,A/2019,116,52,54,0,4,5,3,1066,76,53,,,,
Ferreira,gremio,1,1,10,4,25.0,7.28,A/2019,3,0,1,0,0,1,2,36,81,3,,,,
Marco Antônio,bahia,1,0,13,5,20.0,7.25,A/2019,12,1,0,0,0,2,1,95,80,9,,,,
Marcelo Benevenuto,botafogo,2,0,3,8,25.0,7.24,A/2019,10,13,115,0,29,1,1,684,85,3,,,,
Artur,bahia,7,5,72,47,14.89,7.23,A/2019,32,19,7,0,1,9,3,724,76,61,,,,
Víctor Cuesta,internacional,1,1,44,15,6.67,7.22,A/2019,73,64,103,0,23,1,1,1265,86,10,,,,
Jordi,csa,0,0,0,0,0.0,7.22,A/2019,1,2,39,1,0,0,0,324,50,2,129,2,65,0
Marcos Felipe,fluminense,0,0,0,0,0.0,7.22,A/2019,0,0,7,0,0,0,0,90,60,0,18,0,5,3
Marcelo Boeck,fortaleza,0,0,0,0,0.0,7.21,A/2019,0,0,17,0,0,0,0,143,75,0,27,0,16,1
Juninho,fortaleza,3,0,30,35,8.57,7.21,A/2019,59,26,37,0,10,10,6,1502,87,55,,,,
