name,team,goals,big_chances_missed,success_ful_dribbles,total_shots,goal_conversion_percentage,rating,league,tackles,interceptions,clearances,error_lead_to_goal,blocked_shots,bigChancesCreated,assists,accuratePasses,accuratePassesPercentage,keyPasses,saves,penalty_save,saved_shots_from_inside_the_box,runs_out
Cleriston,vila-nova,0,0,0,0,0.0,8.3,B/2019,0,0,3,0,0,0,0,15,38,0,8,0,5,0
Marcos Miranda,gremio-esportivo-brasil,0,0,0,0,0.0,7.9,B/2019,0,0,8,0,0,0,0,6,23,0,6,0,4,1
Alex Alves,red-bull-bragantino,0,0,0,0,0.0,7.8,B/2019,0,0,0,0,0,0,0,15,83,0,3,0,1,0
Claudinho,red-bull-bragantino,10,2,82,84,11.9,7.77,B/2019,64,28,10,0,0,11,11,1582,82,110,,,,
Michel Bastos,america-mineiro,0,0,2,1,0.0,7.5,B/2019,1,1,1,0,0,1,0,43,79,3,,,,
Dagoberto,londrina,2,0,6,10,20.0,7.46,B/2019,3,2,0,0,0,2,2,70,76,9,,,,
Osman,red-bull-bragantino,0,0,4,0,0.0,7.45,B/2019,2,4,9,0,0,2,2,60,70,5,,,,
Luan Polli,sport-recife,0,0,0,0,0.0,7.42,B/2019,0,0,15,0,1,0,0,112,61,0,27,0,18,0
Thiago Carleto,vitoria,3,0,7,19,15.79,7.42,B/2019,13,12,17,0,4,4,4,309,72,25,,,,
Paulinho,cuiaba,3,2,6,23,13.04,7.38,B/2019,54,35,57,0,9,5,7,761,74,54,,,,
Diego Renan,ponte-preta,1,0,18,16,6.25,7.36,B/2019,55,38,29,0,3,8,4,615,74,48,,,,
Guilherme Augusto,sport-recife,17,7,58,72,23.61,7.34,B/2019,58,24,10,0,0,12,6,1146,80,68,,,,
Ygor Vinhas,ponte-preta,0,0,0,0,0.0,7.34,B/2019,0,0,10,0,0,0,0,207,76,0,40,0,31,0
Marcinho,criciuma,0,0,0,0,0.0,7.3,B/2019,0,0,0,0,0,1,0,3,60,2,,,,
Fernando Timbó,parana-clube,0,0,0,0,0.0,7.3,B/2019,3,3,3,0,0,0,0,12,60,2,,,,
